t l_Lp l_Lp_1 l_Lp_2 l_Lda l_Lda_1 l_Lda_2 l_awake l_asleep l_Lda_adv
0.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 1.0 0.0
15.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 3.0 0.0
30.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 2.0 0.0
45.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 5.0 0.0
60.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 10.0 0.0
75.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 15.0 0.0
90.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 11.0 0.0
105.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 10.0 0.0
120.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 9.0 0.0
135.0 0.0 0.0 0.0 0.0 0.0 0.0 69.0 6.0 0.0
150.0 0.0 0.0 0.0 0.0 0.0 0.0 62.0 13.0 0.0
165.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 14.0 0.0
180.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 11.0 0.0
195.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0 12.0 0.0
210.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 14.0 0.0
225.0 0.0 0.0 0.0 0.0 0.0 0.0 66.0 9.0 0.0
240.0 0.0 0.0 0.0 0.0 0.0 0.0 63.0 12.0 0.0
255.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 15.0 0.0
270.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 11.0 0.0
285.0 0.0 0.0 0.0 0.0 0.0 0.0 62.0 13.0 0.0
300.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 14.0 0.0
315.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 15.0 0.0
330.0 0.0 0.0 0.0 0.0 0.0 0.0 64.0 11.0 0.0
345.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 14.0 1.0
360.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 15.0 1.0
375.0 0.0 0.0 0.0 2.0 2.0 2.0 60.0 15.0 3.0
390.0 0.0 0.0 0.0 3.0 3.0 3.0 62.0 13.0 5.0
405.0 0.0 0.0 0.0 3.0 3.0 3.0 63.0 12.0 6.0
420.0 0.0 0.0 0.0 4.0 4.0 4.0 64.0 11.0 7.0
435.0 0.0 0.0 0.0 6.0 6.0 6.0 65.0 10.0 7.0
450.0 0.0 0.0 0.0 7.0 7.0 7.0 60.0 15.0 7.0
465.0 0.0 0.0 0.0 9.0 9.0 9.0 61.0 14.0 10.0
